Timestamp,Open,High,Low,Close,Volume
1724313600000,60984.31000000,61400.00000000,60802.38000000,61336.09000000,3099.60131000
1724328000000,61336.09000000,61398.18000000,60100.00000000,60407.40000000,6849.31563000
1724342400000,60407.39000000,60600.20000000,60131.00000000,60308.00000000,2663.66757000
1724356800000,60307.99000000,60707.88000000,60288.00000000,60375.84000000,1842.20446000
1724371200000,60375.83000000,60968.24000000,60342.14000000,60593.31000000,2184.37470000
1724385600000,60593.31000000,61367.74000000,60582.68000000,61069.27000000,2937.25078000
1724400000000,61069.26000000,61337.57000000,60691.11000000,60741.68000000,2313.52775000
1724414400000,60741.68000000,62320.36000000,60741.68000000,61533.05000000,11626.90263000
1724428800000,61533.04000000,63819.16000000,61349.99000000,63628.84000000,11503.37000000
1724443200000,63628.84000000,64955.00000000,63484.18000000,64037.24000000,7552.64503000
1724457600000,64037.24000000,64206.70000000,63626.58000000,63832.01000000,3091.41323000
1724472000000,63832.00000000,64332.00000000,63822.00000000,64315.00000000,2843.18939000
1724486400000,64315.00000000,64494.50000000,63868.00000000,63905.01000000,2357.89821000
1724500800000,63905.00000000,64244.00000000,63872.00000000,63976.00000000,2293.96419000
1724515200000,63976.00000000,64444.00000000,63903.58000000,64210.60000000,2874.78934000
1724529600000,64210.60000000,64328.00000000,63531.00000000,64157.01000000,2395.90180000
1724544000000,64157.02000000,64507.04000000,64000.00000000,64101.01000000,2623.24737000
1724558400000,64101.01000000,64196.00000000,63785.76000000,63868.26000000,1645.44133000
1724572800000,63868.27000000,64010.00000000,63773.27000000,63873.91000000,1728.68012000
1724587200000,63873.92000000,64288.00000000,63805.00000000,64132.16000000,1834.21670000
1724601600000,64132.17000000,64248.66000000,64000.00000000,64187.41000000,1118.62168000
1724616000000,64187.42000000,65000.00000000,64122.49000000,64220.00000000,3355.27257000
1724630400000,64219.99000000,64481.00000000,63790.00000000,64114.99000000,2477.44562000
1724644800000,64115.00000000,64205.31000000,63420.00000000,63627.01000000,2772.63585000
1724659200000,63627.01000000,64039.20000000,63220.95000000,63859.00000000,2882.34645000
1724673600000,63859.00000000,63958.95000000,63061.00000000,63532.53000000,4958.27097000
1724688000000,63532.54000000,63878.78000000,63192.04000000,63342.99000000,3487.08919000
1724702400000,63342.99000000,63557.58000000,62800.00000000,62834.00000000,2892.26468000
1724716800000,62834.00000000,63212.00000000,62657.00000000,62970.00000000,3568.52133000
1724731200000,62970.00000000,63200.00000000,62701.06000000,62902.31000000,3113.00318000
1724745600000,62902.32000000,63000.00000000,62230.00000000,62417.00000000,4189.56881000
1724760000000,62416.99000000,62495.00000000,61473.03000000,61709.13000000,8258.16317000
1724774400000,61709.13000000,62196.75000000,61518.74000000,62102.01000000,3043.78733000
1724788800000,62102.00000000,62102.01000000,58034.01000000,59415.00000000,12962.89796000
1724803200000,59415.00000000,59650.00000000,58917.12000000,59629.01000000,5551.95530000
1724817600000,59629.01000000,59661.00000000,58516.00000000,58600.98000000,4614.54952000
1724832000000,58600.98000000,60234.98000000,58534.35000000,59935.00000000,6405.76959000
1724846400000,59934.99000000,60160.00000000,58443.07000000,59000.00000000,8281.56232000
1724860800000,59000.00000000,59849.99000000,57860.00000000,58898.85000000,8303.26552000
1724875200000,58898.85000000,59602.00000000,58623.01000000,59034.90000000,3711.44050000
1724889600000,59034.90000000,59320.00000000,58878.46000000,59141.10000000,2188.72128000
1724904000000,59141.11000000,59764.00000000,59049.79000000,59583.88000000,2877.04011000
1724918400000,59583.88000000,60477.00000000,59374.00000000,60067.06000000,4113.75713000
