Timestamp,Open,High,Low,Close,Volume
1735056000000,98299.99000000,99487.99000000,97546.57000000,97581.09000000,6446.91305000
1735070400000,97581.10000000,99068.90000000,97250.00000000,98663.58000000,3185.52945000
1735084800000,98663.58000000,98878.44000000,97725.27000000,98029.48000000,2347.02600000
1735099200000,98029.49000000,98581.90000000,97844.18000000,98084.33000000,1454.63832000
1735113600000,98084.33000000,99349.31000000,97773.83000000,97907.61000000,3026.36685000
1735128000000,97907.61000000,98832.89000000,97632.02000000,98519.98000000,2843.35507000
1735142400000,98519.99000000,99299.99000000,98134.40000000,99018.52000000,2094.84554000
1735156800000,99018.52000000,99569.15000000,98384.61000000,99429.60000000,2707.93332000
1735171200000,99429.61000000,99963.70000000,98468.26000000,98995.17000000,3339.03441000
1735185600000,98995.18000000,98995.18000000,97711.17000000,97719.99000000,2538.93374000
1735200000000,97719.99000000,97772.13000000,95199.14000000,95695.81000000,6056.25765000
1735214400000,95695.81000000,96280.25000000,95234.93000000,96042.88000000,4267.56835000
1735228800000,96042.89000000,96621.95000000,95444.44000000,96102.25000000,2892.18792000
1735243200000,96102.24000000,96114.46000000,95302.00000000,95791.60000000,2098.38520000
1735257600000,95791.60000000,96443.68000000,95401.03000000,96417.84000000,2935.24410000
1735272000000,96417.84000000,96604.24000000,94646.03000000,95104.76000000,4600.52902000
1735286400000,95104.76000000,97544.58000000,95104.76000000,96952.38000000,4963.50857000
1735300800000,96952.38000000,97035.80000000,94011.11000000,94573.75000000,6425.73336000
1735315200000,94573.75000000,94996.16000000,93500.01000000,94750.00000000,5278.97717000
1735329600000,94750.11000000,94823.09000000,94100.60000000,94299.03000000,2297.27207000
1735344000000,94299.03000000,94720.00000000,94135.66000000,94594.91000000,1341.52605000
1735358400000,94594.91000000,94800.00000000,94307.00000000,94381.99000000,971.18403000
1735372800000,94381.98000000,94883.00000000,94312.67000000,94754.83000000,1063.67759000
1735387200000,94754.83000000,95340.36000000,94375.80000000,94447.29000000,2013.14298000
1735401600000,94447.28000000,95245.24000000,94389.45000000,95027.76000000,1698.97945000
1735416000000,95027.75000000,95733.99000000,94878.26000000,95300.00000000,1297.38280000
1735430400000,95300.00000000,95340.00000000,94808.00000000,95172.40000000,1053.11164000
1735444800000,95172.41000000,95283.99000000,94971.44000000,95272.04000000,875.93086000
1735459200000,95272.05000000,95315.50000000,95010.00000000,95032.57000000,788.50288000
1735473600000,95032.58000000,95231.58000000,94010.00000000,94511.12000000,2881.21420000
1735488000000,94511.11000000,94578.89000000,93367.52000000,93612.89000000,4040.48021000
1735502400000,93612.89000000,93949.52000000,93009.52000000,93738.20000000,3936.76599000
1735516800000,93738.19000000,94274.29000000,93368.93000000,93722.71000000,2898.63024000
1735531200000,93722.72000000,94060.35000000,93240.03000000,93731.65000000,2439.98241000
1735545600000,93731.66000000,94068.56000000,93469.56000000,93923.14000000,1683.90269000
1735560000000,93923.14000000,94277.23000000,91530.45000000,92130.21000000,9295.96250000
1735574400000,92130.21000000,94684.09000000,91800.00000000,94417.04000000,6130.98017000
1735588800000,94417.04000000,95024.50000000,91901.57000000,92792.05000000,5169.96449000
1735603200000,92792.05000000,92907.03000000,92033.73000000,92509.59000000,2673.26662000
1735617600000,92509.60000000,93040.10000000,92344.07000000,92860.75000000,1910.77295000
1735632000000,92860.75000000,94741.68000000,92842.88000000,94232.68000000,3728.42811000
1735646400000,94232.68000000,96250.00000000,94232.67000000,95412.00000000,5922.39263000
1735660800000,95412.00000000,95590.52000000,93189.59000000,94166.88000000,3654.49229000
1735675200000,94166.88000000,94222.50000000,93375.38000000,93576.00000000,1722.68129000
1735689600000,93576.00000000,94509.42000000,93489.03000000,93838.04000000,1840.29813000
1735704000000,93838.04000000,93937.19000000,93500.00000000,93684.10000000,958.86153000
1735718400000,93684.11000000,93756.02000000,92888.00000000,93444.64000000,1867.48363000
1735732800000,93444.65000000,94500.00000000,93407.07000000,94432.94000000,2077.71092000
1735747200000,94432.94000000,94823.75000000,93760.93000000,94627.07000000,1721.05382000
1735761600000,94627.08000000,95151.15000000,94542.00000000,94591.79000000,1907.91810000
1735776000000,94591.78000000,95516.00000000,94392.00000000,95010.33000000,3071.06776000
1735790400000,95010.34000000,96000.00000000,94984.84000000,95822.00000000,2597.83185000
1735804800000,95822.01000000,96876.38000000,95640.05000000,96732.99000000,3181.19751000
1735819200000,96733.00000000,97440.91000000,95924.60000000,96455.01000000,6594.73113000
1735833600000,96455.01000000,97777.00000000,96040.04000000,97317.74000000,4552.10190000
1735848000000,97317.74000000,97839.50000000,96666.66000000,96984.79000000,1973.55933000
